13-02-2022 11:42,b'@JennyJenocon Grow up #maskoff',b'WendyPu01820112',b'Solihull'
09-02-2022 18:50,"b""Knowing when you're wrong &amp;  deflecting looks like @PressSec. As many #Democrats #States drop #maskmandates all she\xe2\x80\xa6 https://t.co/snmBn3aOH9""",b'sn00pdad',b''
,,,
09-02-2022 18:13,b'@3lond3_3arbie @hmg83bull @Kim_Sag_87 @x4eileen @BarackObama @ImDee45 @nola1107 @Eminem @Thala_ChennaiFC\xe2\x80\xa6 https://t.co/pTXLdIHGmg',b'ALaN83BuLL',"b'Midwood, Brooklyn'"
,,,
09-02-2022 18:00,b'Papoose https://t.co/RfezPlAniv via @YouTube #MaskOff',b'GordonRapSay',"b'Paris, France'"
,,,
09-02-2022 16:44,"b'#BREAKING: @CDCDirector\nWhen asked by a REPORTER: ""When it comes to masking, should people be listening to the CDC\xe2\x80\xa6 https://t.co/zl5hgdFQ9x'",b'sn00pdad',b''
,,,
09-02-2022 16:28,b'@GovNedLamont Why are we waiting until Feb 28th? #MaskOff',b'commonsenzze',"b'Manhattan, NY'"
,,,
09-02-2022 14:40,b'Just your daily reminder that covid has killed less than 1K 0-18 year olds in over 2 years.  This is not a threat t\xe2\x80\xa6 https://t.co/Pq23mpC2eA',b'CouncilonP',b''
,,,
09-02-2022 03:05,"b'#CNN: ""Do you think it\'s time to lift these #mask requirements in schools?"" The #maskless #Whale #StaceyAbrams blow\xe2\x80\xa6 https://t.co/zERyTFJrzd'",b'sn00pdad',b''
,,,
09-02-2022 01:14,b'Hochul trying to get the nets to the finals \xf0\x9f\xa4\xa3 #BrooklynNets #MaskOff https://t.co/t25QmRRPfz',b'wuhleed',"b'New York, NY'"
,,,
09-02-2022 00:39,"b""Hey @GovPritzker and @chicagosmayor, do we really need to be last with respect to dropping the mandates that aren't\xe2\x80\xa6 https://t.co/agBcl0wRxi""",b'johnmcomfort',"b'Chicago, AZ, SE Asia, Repeat'"
,,,
09-02-2022 00:19,b'@SamRochadotcom You have a problem with an all-Black Supreme Court? #MaskOff',b'trollmasterted',b''
,,,
09-02-2022 00:17,"b'#PoliticalScienceChanged: @flgovrondesantis The medical science on forced #masking of #children didn\xe2\x80\x99t change, the\xe2\x80\xa6 https://t.co/lPvMG96XDY'",b'sn00pdad',b''
,,,
08-02-2022 22:43,b'It was all unnecessary harm and research proves it. Very sad. #MaskMandates #MaskOff https://t.co/5S2hzunaqn',b'nabi_nadahoy',b'mi tierra'
,,,
08-02-2022 18:04,"b'@JoyAnnReid NEVER IN THE HISTORY OF HUMAN KIND, HAVE WE SACRIFICED THE YOUTH FOR THE ELDERLY. #LeaveKidsAlone #MaskOff #CorruptClown'",b'ImmaRobotman',b''
,,,
08-02-2022 17:49,b'#Conservatives &amp; #Independents #MaskOff\n\nFugly people please keep your masks on.  Which means liberals / communists\xe2\x80\xa6 https://t.co/ZQlMBIw68w',b'MuppetMeme',"b'Smalltown, USA'"
,,,
08-02-2022 17:37,b'@ladygaga Wonderful Concert but it\xe2\x80\x99s \xf0\x9f\x87\xac\xf0\x9f\x87\xa7- Am3rica B3sid3s that @ImDee45 #MaskOff @Ferragamo \xf0\x9f\x94\x9b\n\n https://t.co/JItjCmiGcd',b'ALaN83BuLL',"b'Midwood, Brooklyn'"
,,,
08-02-2022 10:36,"b'Anti-maskers say, what? about blood oxygen and breathing impediments of masks? Hockey Players say you are full of i\xe2\x80\xa6 https://t.co/VEGC1j4BJe'",b'andsowewonder',b'fellow traveller'
,,,
08-02-2022 07:59,b'#Maskon fuck it #MaskOff \xf0\x9f\x98\xb7 https://t.co/RaXX1P86ZQ',b'_theonlylv',b'Saturn \xf0\x9f\xaa\x90'
,,,
08-02-2022 02:02,b'Finally \xf0\x9f\x8e\x89 #MaskOff https://t.co/86ZUeRfUXo',b'Krnl75',b'Far Far West'
,,,
08-02-2022 00:47,"b'Great points from @RaquelDancho &amp; build bridges, solutions, agree \xe2\x80\x9cshame\xe2\x80\x9d on whomever was laughing in @OurCommons\xe2\x80\xa6 https://t.co/gOi0CBajBc'",b'GeorginaBencsik',b'Global Citizen\n'
,,,
08-02-2022 00:41,b'We need to take back the mandates #maskoff #TruckersForFreedom2022  https://t.co/ZJKbtlLPwr',b'Bayareamade',b'San Francisco Bay Area'
,,,
08-02-2022 00:34,"b""If you're intuitive, and you know that you can see through other people's bs, then why would you try to hide your t\xe2\x80\xa6 https://t.co/OY2ZovdTlK""",b'_VictoriasDream',b''
,,,
08-02-2022 00:23,b'It\xe2\x80\x99s a wrap \xf0\x9f\x8c\xaf #MaskOff',b'MilesofSmiles13',"b'Manhattan, NY'"
,,,
